,title,movie_url,release_year,rating,runtime,genres,cast,description
46,Atonement,https://www.imdb.com//title/tt0783233/?ref_=adv_li_tt,(2007),7.8,123 min,"Drama, Mystery, Romance","R
|
123 min
|

Drama, Mystery, Romance","R
|
123 min
|

Drama, Mystery, Romance"
47,Free Guy,https://www.imdb.com//title/tt6264654/?ref_=adv_li_tt,(2021),7.1,115 min,"Action, Adventure, Comedy","PG-13
|
115 min
|

Action, Adventure, Comedy","PG-13
|
115 min
|

Action, Adventure, Comedy"
48,Matilda,https://www.imdb.com//title/tt0117008/?ref_=adv_li_tt,(1996),6.9,102 min,"Comedy, Family, Fantasy","PG
|
102 min
|

Comedy, Family, Fantasy","PG
|
102 min
|

Comedy, Family, Fantasy"
49,300,https://www.imdb.com//title/tt0416449/?ref_=adv_li_tt,(2006),7.6,117 min,"Action, Drama","R
|
117 min
|

Action, Drama","R
|
117 min
|

Action, Drama"
50,Black Adam,https://www.imdb.com//title/tt6443346/?ref_=adv_li_tt,(2022),6.7,125 min,"Action, Adventure, Fantasy","PG-13
|
125 min
|

Action, Adventure, Fantasy","PG-13
|
125 min
|

Action, Adventure, Fantasy"
51,Love Actually,https://www.imdb.com//title/tt0314331/?ref_=adv_li_tt,(2003),7.6,135 min,"Comedy, Drama, Romance","R
|
135 min
|

Comedy, Drama, Romance","R
|
135 min
|

Comedy, Drama, Romance"
52,Where the Crawdads Sing,https://www.imdb.com//title/tt9411972/?ref_=adv_li_tt,(2022),7.1,125 min,"Drama, Mystery, Thriller","PG-13
|
125 min
|

Drama, Mystery, Thriller","PG-13
|
125 min
|

Drama, Mystery, Thriller"
53,Avatar,https://www.imdb.com//title/tt0499549/?ref_=adv_li_tt,(2009),7.8,162 min,"Action, Adventure, Fantasy","PG-13
|
162 min
|

Action, Adventure, Fantasy","PG-13
|
162 min
|

Action, Adventure, Fantasy"
54,Elf,https://www.imdb.com//title/tt0319343/?ref_=adv_li_tt,(2003),7.0,97 min,"Adventure, Comedy, Family","PG
|
97 min
|

Adventure, Comedy, Family","PG
|
97 min
|

Adventure, Comedy, Family"
55,Enchanted,https://www.imdb.com//title/tt0461770/?ref_=adv_li_tt,(2007),7.1,107 min,"Animation, Adventure, Comedy","PG
|
107 min
|

Animation, Adventure, Comedy","PG
|
107 min
|

Animation, Adventure, Comedy"
56,Amsterdam,https://www.imdb.com//title/tt10304142/?ref_=adv_li_tt,(2022),6.1,134 min,"Comedy, Drama, History","R
|
134 min
|

Comedy, Drama, History","R
|
134 min
|

Comedy, Drama, History"
57,How the Grinch Stole Christmas,https://www.imdb.com//title/tt0170016/?ref_=adv_li_tt,(2000),6.2,104 min,"Comedy, Family, Fantasy","PG
|
104 min
|

Comedy, Family, Fantasy","PG
|
104 min
|

Comedy, Family, Fantasy"
58,The Batman,https://www.imdb.com//title/tt1877830/?ref_=adv_li_tt,(2022),7.8,176 min,"Action, Crime, Drama","PG-13
|
176 min
|

Action, Crime, Drama","PG-13
|
176 min
|

Action, Crime, Drama"
59,Pearl,https://www.imdb.com//title/tt18925334/?ref_=adv_li_tt,(2022),7.0,103 min,Horror,"R
|
103 min
|

Horror","R
|
103 min
|

Horror"
60,Guillermo del Toro's Pinocchio,https://www.imdb.com//title/tt1488589/?ref_=adv_li_tt,(2022),8.0,117 min,"Animation, Drama, Family","PG
|
117 min
|

Animation, Drama, Family","PG
|
117 min
|

Animation, Drama, Family"
61,See How They Run,https://www.imdb.com//title/tt13640696/?ref_=adv_li_tt,(2022),6.5,98 min,"Comedy, Mystery","PG-13
|
98 min
|

Comedy, Mystery","PG-13
|
98 min
|

Comedy, Mystery"
62,Thor: Love and Thunder,https://www.imdb.com//title/tt10648342/?ref_=adv_li_tt,(2022),6.3,118 min,"Action, Adventure, Comedy","PG-13
|
118 min
|

Action, Adventure, Comedy","PG-13
|
118 min
|

Action, Adventure, Comedy"
63,The Grinch,https://www.imdb.com//title/tt2709692/?ref_=adv_li_tt,(2018),6.3,85 min,"Animation, Comedy, Family","PG
|
85 min
|

Animation, Comedy, Family","PG
|
85 min
|

Animation, Comedy, Family"
64,The Shawshank Redemption,https://www.imdb.com//title/tt0111161/?ref_=adv_li_tt,(1994),9.3,142 min,Drama,"R
|
142 min
|

Drama","R
|
142 min
|

Drama"
65,The Polar Express,https://www.imdb.com//title/tt0338348/?ref_=adv_li_tt,(2004),6.6,100 min,"Animation, Adventure, Comedy","G
|
100 min
|

Animation, Adventure, Comedy","G
|
100 min
|

Animation, Adventure, Comedy"
66,The Wolf of Wall Street,https://www.imdb.com//title/tt0993846/?ref_=adv_li_tt,(2013),8.2,180 min,"Biography, Comedy, Crime","R
|
180 min
|

Biography, Comedy, Crime","R
|
180 min
|

Biography, Comedy, Crime"
67,Dune,https://www.imdb.com//title/tt1160419/?ref_=adv_li_tt,(2021),8.0,155 min,"Action, Adventure, Drama","PG-13
|
155 min
|

Action, Adventure, Drama","PG-13
|
155 min
|

Action, Adventure, Drama"
68,Once Upon a Time in Hollywood,https://www.imdb.com//title/tt7131622/?ref_=adv_li_tt,(2019),7.6,161 min,"Comedy, Drama","R
|
161 min
|

Comedy, Drama","R
|
161 min
|

Comedy, Drama"
69,Elvis,https://www.imdb.com//title/tt3704428/?ref_=adv_li_tt,(2022),7.4,159 min,"Biography, Drama, Music","PG-13
|
159 min
|

Biography, Drama, Music","PG-13
|
159 min
|

Biography, Drama, Music"
70,Titanic,https://www.imdb.com//title/tt0120338/?ref_=adv_li_tt,(1997),7.9,194 min,"Drama, Romance","PG-13
|
194 min
|

Drama, Romance","PG-13
|
194 min
|

Drama, Romance"
71,Fight Club,https://www.imdb.com//title/tt0137523/?ref_=adv_li_tt,(1999),8.8,139 min,Drama,"R
|
139 min
|

Drama","R
|
139 min
|

Drama"
72,American Psycho,https://www.imdb.com//title/tt0144084/?ref_=adv_li_tt,(2000),7.6,102 min,"Crime, Drama, Horror","R
|
102 min
|

Crime, Drama, Horror","R
|
102 min
|

Crime, Drama, Horror"
73,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com//title/tt0120737/?ref_=adv_li_tt,(2001),8.8,178 min,"Action, Adventure, Drama","PG-13
|
178 min
|

Action, Adventure, Drama","PG-13
|
178 min
|

Action, Adventure, Drama"
74,Green Book,https://www.imdb.com//title/tt6966692/?ref_=adv_li_tt,(2018),8.2,130 min,"Biography, Comedy, Drama","PG-13
|
130 min
|

Biography, Comedy, Drama","PG-13
|
130 min
|

Biography, Comedy, Drama"
75,Women Talking,https://www.imdb.com//title/tt13669038/?ref_=adv_li_tt,(2022),7.8,104 min,Drama,"PG-13
|
104 min
|

Drama","PG-13
|
104 min
|

Drama"
76,The Gentlemen,https://www.imdb.com//title/tt8367814/?ref_=adv_li_tt,(2019),7.8,113 min,"Action, Comedy, Crime","R
|
113 min
|

Action, Comedy, Crime","R
|
113 min
|

Action, Comedy, Crime"
77,American Beauty,https://www.imdb.com//title/tt0169547/?ref_=adv_li_tt,(1999),8.4,122 min,Drama,"R
|
122 min
|

Drama","R
|
122 min
|

Drama"
78,Goodfellas,https://www.imdb.com//title/tt0099685/?ref_=adv_li_tt,(1990),8.7,145 min,"Biography, Crime, Drama","R
|
145 min
|

Biography, Crime, Drama","R
|
145 min
|

Biography, Crime, Drama"
79,Inglourious Basterds,https://www.imdb.com//title/tt0361748/?ref_=adv_li_tt,(2009),8.3,153 min,"Adventure, Drama, War","R
|
153 min
|

Adventure, Drama, War","R
|
153 min
|

Adventure, Drama, War"
80,Three Thousand Years of Longing,https://www.imdb.com//title/tt9198364/?ref_=adv_li_tt,(2022),6.7,108 min,"Drama, Fantasy, Romance","R
|
108 min
|

Drama, Fantasy, Romance","R
|
108 min
|

Drama, Fantasy, Romance"
81,Parasite,https://www.imdb.com//title/tt6751668/?ref_=adv_li_tt,(2019),8.5,132 min,"Drama, Thriller","R
|
132 min
|

Drama, Thriller","R
|
132 min
|

Drama, Thriller"
82,No Country for Old Men,https://www.imdb.com//title/tt0477348/?ref_=adv_li_tt,(2007),8.2,122 min,"Crime, Drama, Thriller","R
|
122 min
|

Crime, Drama, Thriller","R
|
122 min
|

Crime, Drama, Thriller"
83,Transformers,https://www.imdb.com//title/tt0418279/?ref_=adv_li_tt,(2007),7.0,144 min,"Action, Adventure, Sci-Fi","PG-13
|
144 min
|

Action, Adventure, Sci-Fi","PG-13
|
144 min
|

Action, Adventure, Sci-Fi"
84,Doctor Zhivago,https://www.imdb.com//title/tt0059113/?ref_=adv_li_tt,(1965),7.9,197 min,"Drama, Romance, War","PG-13
|
197 min
|

Drama, Romance, War","PG-13
|
197 min
|

Drama, Romance, War"
85,Taxi Driver,https://www.imdb.com//title/tt0075314/?ref_=adv_li_tt,(1976),8.2,114 min,"Crime, Drama","R
|
114 min
|

Crime, Drama","R
|
114 min
|

Crime, Drama"
86,Super Mario Bros.,https://www.imdb.com//title/tt0108255/?ref_=adv_li_tt,(1993),4.1,104 min,"Adventure, Comedy, Family","PG
|
104 min
|

Adventure, Comedy, Family","PG
|
104 min
|

Adventure, Comedy, Family"
87,The Grand Budapest Hotel,https://www.imdb.com//title/tt2278388/?ref_=adv_li_tt,(2014),8.1,99 min,"Adventure, Comedy, Crime","R
|
99 min
|

Adventure, Comedy, Crime","R
|
99 min
|

Adventure, Comedy, Crime"
88,Mad Max: Fury Road,https://www.imdb.com//title/tt1392190/?ref_=adv_li_tt,(2015),8.1,120 min,"Action, Adventure, Sci-Fi","R
|
120 min
|

Action, Adventure, Sci-Fi","R
|
120 min
|

Action, Adventure, Sci-Fi"
89,Gone Girl,https://www.imdb.com//title/tt2267998/?ref_=adv_li_tt,(2014),8.1,149 min,"Drama, Mystery, Thriller","R
|
149 min
|

Drama, Mystery, Thriller","R
|
149 min
|

Drama, Mystery, Thriller"
90,Nobody,https://www.imdb.com//title/tt7888964/?ref_=adv_li_tt,(I) (2021),7.4,92 min,"Action, Crime, Drama","R
|
92 min
|

Action, Crime, Drama","R
|
92 min
|

Action, Crime, Drama"
91,Pinocchio,https://www.imdb.com//title/tt4593060/?ref_=adv_li_tt,(2022),5.1,105 min,"Adventure, Comedy, Drama","PG
|
105 min
|

Adventure, Comedy, Drama","PG
|
105 min
|

Adventure, Comedy, Drama"
92,The Worst Person in the World,https://www.imdb.com//title/tt10370710/?ref_=adv_li_tt,(2021),7.8,128 min,"Comedy, Drama, Romance","R
|
128 min
|

Comedy, Drama, Romance","R
|
128 min
|

Comedy, Drama, Romance"
93,Apocalypse Now,https://www.imdb.com//title/tt0078788/?ref_=adv_li_tt,(1979),8.5,147 min,"Drama, Mystery, War","R
|
147 min
|

Drama, Mystery, War","R
|
147 min
|

Drama, Mystery, War"
94,Stand by Me,https://www.imdb.com//title/tt0092005/?ref_=adv_li_tt,(1986),8.1,89 min,"Adventure, Drama","R
|
89 min
|

Adventure, Drama","R
|
89 min
|

Adventure, Drama"
95,Atonement,https://www.imdb.com//title/tt0783233/?ref_=adv_li_tt,(2007),7.8,123 min,"Drama, Mystery, Romance","R
|
123 min
|

Drama, Mystery, Romance","R
|
123 min
|

Drama, Mystery, Romance"
96,Free Guy,https://www.imdb.com//title/tt6264654/?ref_=adv_li_tt,(2021),7.1,115 min,"Action, Adventure, Comedy","PG-13
|
115 min
|

Action, Adventure, Comedy","PG-13
|
115 min
|

Action, Adventure, Comedy"
97,Matilda,https://www.imdb.com//title/tt0117008/?ref_=adv_li_tt,(1996),6.9,102 min,"Comedy, Family, Fantasy","PG
|
102 min
|

Comedy, Family, Fantasy","PG
|
102 min
|

Comedy, Family, Fantasy"
98,300,https://www.imdb.com//title/tt0416449/?ref_=adv_li_tt,(2006),7.6,117 min,"Action, Drama","R
|
117 min
|

Action, Drama","R
|
117 min
|

Action, Drama"
99,The Notebook,https://www.imdb.com//title/tt0332280/?ref_=adv_li_tt,(2004),7.8,123 min,"Drama, Romance","PG-13
|
123 min
|

Drama, Romance","PG-13
|
123 min
|

Drama, Romance"
